Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL,Tender process type,Tender document URL,Contract document URL,Performance information URL,Location service label,Location served URI
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,23/02/2009,31/12/2020,31/12/2020,31/12/2020,"16,076.13",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"13,847.39",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms  ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms  ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"16,152.74",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR7 to Silver Rooms, Vauxhall Centre and Alfred Nichols Court  ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR7 to Silver Rooms, Vauxhall Centre and Alfred Nichols Court  ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"26,317.70",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR3 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"16,729.08",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms ,Passenger transport.Adult Social Care,,,,,01/09/2007,31/12/2020,31/12/2020,31/12/2020,"54,250.47",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"16,152.74",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"27,439.77",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"31,010.00",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR6 to Silver Rooms ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR6 to Silver Rooms ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"32,305.48",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR4, NR6, NR7 to Silver Rooms ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR4, NR6, NR7 to Silver Rooms ",Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"26,317.70",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"30,892.69",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Silver Rooms ,Single award contract,COMMUNITY SERVICES,,,NR3 to Silver Rooms ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"18,192.87",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR7 to Thorpe Community Centre ,Single award contract,COMMUNITY SERVICES,,,NR7 to Thorpe Community Centre ,Passenger transport.Adult Social Care,,,,,03/08/2007,31/12/2020,31/12/2020,31/12/2020,"36,385.75",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR7 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR7 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,27/07/2007,30/04/2020,30/04/2020,30/04/2020,"15,697.99",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR3 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,20/05/2008,30/06/2020,30/06/2020,30/06/2020,"19,160.16",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,Norwich to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,Norwich to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,02/05/2008,30/04/2020,30/04/2020,30/04/2020,"13,591.90",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR7 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR7 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"30,075.39",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR4 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR4 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"23,240.07",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR2 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR2 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"15,037.69",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR3 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,05/05/2008,30/04/2020,30/04/2020,30/04/2020,"14,744.86",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR6 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR6 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,27/07/2007,30/04/2020,30/04/2020,30/04/2020,"18,924.94",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR2 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR2 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,05/05/2008,30/04/2020,30/04/2020,30/04/2020,"22,639.18",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR3, NR5 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR3, NR5 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,27/07/2007,30/04/2020,30/04/2020,30/04/2020,"48,040.22",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR5 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR5 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"20,619.87",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR3 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR3 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,16/07/2009,16/07/2020,16/07/2020,16/07/2020,"14,502.89",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR7 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR7 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,01/05/2008,30/04/2020,30/04/2020,30/04/2020,"11,770.17",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR6 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR6 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,01/05/2008,30/06/2020,30/06/2020,30/06/2020,"24,053.06",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR4, NR5 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR4, NR5 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"16,974.37",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR4, NR7 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR4, NR7 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"26,657.73",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR3, NR5 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR3, NR5 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"28,972.62",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR6 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR6 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"14,431.63",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR7 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR7 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"23,513.48",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR3, NR4, NR5 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR3, NR4, NR5 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,29/04/2008,30/06/2020,30/06/2020,30/06/2020,"19,251.11",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR4, NR5 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR4, NR5 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/06/2020,30/06/2020,30/06/2020,"35,230.42",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR7 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR7 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"40,328.36",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR3, NR6 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR3, NR6 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"25,308.89",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR3, NR5 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR3, NR5 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"36,988.17",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR7 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR7 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,30/04/2008,30/04/2020,30/04/2020,30/04/2020,"11,772.86",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR5, NR6 to Vauxhall Centre ",Single award contract,COMMUNITY SERVICES,,,"NR5, NR6 to Vauxhall Centre ",Passenger transport.Adult Social Care,,,,,30/04/2008,30/06/2020,30/06/2020,30/06/2020,"15,471.45",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR2 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR2 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"22,634.01",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR6 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR6 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"22,556.54",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR5 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR5 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,06/05/2008,30/04/2020,30/04/2020,30/04/2020,"15,238.20",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,NR5 to Vauxhall Centre ,Single award contract,COMMUNITY SERVICES,,,NR5 to Vauxhall Centre ,Passenger transport.Adult Social Care,,,,,18/02/2009,30/04/2020,30/04/2020,30/04/2020,"21,072.35",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR6, NR7 to Grays Friar ",Single award contract,COMMUNITY SERVICES,,,"NR6, NR7 to Grays Friar ",Passenger transport.Adult Social Care,,,,,10/08/2007,30/04/2020,30/04/2020,30/04/2020,"24,673.66",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR2, NR3, NR5, NR6 to Grays Friar ",Single award contract,COMMUNITY SERVICES,,,"NR2, NR3, NR5, NR6 to Grays Friar ",Passenger transport.Adult Social Care,,,,,10/08/2007,30/04/2020,30/04/2020,30/04/2020,"49,831.12",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,28/03/2015,,,"NR1, NR5, NR7 to Grays Fair Court ",Single award contract,COMMUNITY SERVICES,,,"NR1, NR5, NR7 to Grays Fair Court ",Passenger transport.Adult Social Care,,,,,10/08/2007,30/04/2020,30/04/2020,30/04/2020,"49,347.32",Estimated Cost,,Norse Transport,,,962790,,,,Passenger Transport Procurement,ptprocurement@norfolk.gov.uk,,Other,,,,,
