category,date,total_spend,YYYY,MM
Child In Care Agency Fostering,2011-06-01,963502.220000002,2011,6
Personal Budget - Respite Residential Care,2013-12-01,25078.22,2013,12
Laboratory Testing -Pre Works,2014-05-01,665.76,2014,5
Non Staff Course Conference & Subsistence Expenses,2011-08-01,196258.7,2011,8
Private Finance Initiative Payments,2012-05-01,984988.52,2012,5
Bmpp Building Repairs,2013-07-01,17549.69,2013,7
Protective Clothing and Uniforms,2011-09-01,9343.56,2011,9
Vehicle Repair Costs,2013-12-01,27519.57,2013,12
Cost of Licenses & Subscriptions,2011-08-01,60684.55,2011,8
Vehicle Abuse/Wear & Tear Costs,2011-05-01,3625.63,2011,5
Highway Street Lighting Non-Routine Maintenance,2013-11-01,76360.67,2013,11
Fire Alarms,2011-10-01,21191.6,2011,10
Direct Payment - Domiciliary Care,2012-05-01,11804.84,2012,5
Fixed Price Vehicle Maintenance,2012-10-01,785.95,2012,10
Equipment Repairs Maintenance & Servicing,2011-08-01,445664.26,2011,8
Bmf Plant Replacements,2014-02-01,11895.61,2014,2
Customer Research & Insight,2013-01-01,600,2013,1
Library Books - Junior Non Fiction,2013-06-01,3545.43,2013,6
Agency Staff - Admin & Clerical - Scale A to J,2012-12-01,41572.43,2012,12
On-Line Bank Charges,2012-11-01,2897.36,2012,11
Purchase Of Equipment,2011-10-01,48366.48,2011,10
Participants Subsistence,2011-06-01,2062.17,2011,6
Long Term Residential Care,2011-03-01,3270611.99999999,2011,3
External Examinations Fees,2014-07-01,2030,2014,7
Voluntary Driver Payments,2013-07-01,13341.07,2013,7
Buildings Fixtures & Fittings,2014-03-01,4218.8,2014,3
Counsel's Fees,2011-08-01,36355,2011,8
Hospitality Expenses,2013-02-01,583,2013,2
Long Term Residential Care,2014-01-01,7177628.79000013,2014,1
External Examinations Fees,2014-06-01,420,2014,6
Asphalting,2012-03-01,3445,2012,3
Non Staff Advertising - Discretionary,2011-01-01,13761.53,2011,1
DVD'S,2014-03-01,9850.73,2014,3
Agency Staff - Social Services Operational-Other1 April,2012-01-01,6803.92,2012,1
Highway Kerb Footway and Cycleway Repairs,2011-05-01,6913.67,2011,5
School Equipment Inspection/Testing,2011-04-01,22579.82,2011,4
Support Services,2013-05-01,14400,2013,5
Highway Pothole Repairs,2013-12-01,6534.01,2013,12
Purchase Of Nursing Rehabilitation - Alcohol,2011-05-01,1351.56,2011,5
Highway Fencing Repairs,2011-09-01,3873.37,2011,9
Staff Subsistence & Conference Expenses,2012-01-01,16416.48,2012,1
Bmf Fire Alarms,2013-06-01,899.29,2013,6
Child In Care Residential Education Only,2013-07-01,41874.78,2013,7
Fire Service Radio Equipment - Running Costs,2013-12-01,1858.82,2013,12
Agency Staff - Operational APT&C,2012-11-01,158333.32,2012,11
Support Services,2013-04-01,7684,2013,4
Equipment Purchases,2011-10-01,25572.99,2011,10
Vehicle  Leasing Costs,2014-02-01,1772.03,2014,2
Training Travel & Subsistence,2011-02-01,-94.7,2011,2
Actuarial Fees-Investment,2013-11-01,3500,2013,11
Highway Patching to Carriageway,2011-06-01,354743.34,2011,6
Highway Traffic Signals and Systems Accident Damage,2011-02-01,2788.2,2011,2
Road Fund Driving & Operators Licences,2013-11-01,2020,2013,11
Caretakers,2011-04-01,1379.32,2011,4
Construction Costs - Roads - HOPS,2012-12-01,89236.79,2012,12
Long Term Care with Nursing,2012-11-01,1628092.92000001,2012,11
CONSTR COSTS - M&E OTHER,2013-12-01,44136.08,2013,12
Non Staff Advertising - Discretionary,2014-07-01,15672.36,2014,7
Private Contractor Catering Payments,2013-05-01,458.95,2013,5
Purchase Of Major Software,2011-05-01,440,2011,5
Highway Lighting Repairs,2011-10-01,880,2011,10
Portable Electric Appliance Testing,2011-01-01,513.6,2011,1
Fire Service Radio Equipment - Purchase,2013-11-01,2650,2013,11
Medical Requisites & Drugs Etc,2011-05-01,1269.44,2011,5
Bmpp Boiler Servicing,2014-02-01,29285.1,2014,2
Ext Highways - Utilities Trench & Cover Repairs,2011-12-01,4408.12,2011,12
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2013-12-01,30694.18,2013,12
Materials Purchases,2011-07-01,286961.29,2011,7
Purchase Of Buildings,2011-04-01,560,2011,4
Construction Costs - Roads,2013-02-01,2060018.42,2013,2
Non Staff Advertising - Discretionary,2014-06-01,32738.7,2014,6
Supported Living,2013-08-01,1088453.43,2013,8
Bmpp Electrical Rewiring,2014-01-01,1644.64,2014,1
Repair & Replacement Of Light Fittings,2011-06-01,2738.71,2011,6
Boiler & Heating Repl M&E,2012-12-01,18603.8,2012,12
External Examinations Fees,2011-01-01,1522.25,2011,1
Services Provided By Landlord,2014-08-01,2023.12,2014,8
Library Books-Adult Non Fiction,2011-11-01,39067.88,2011,11
Non Staff Advertising - Discretionary,2012-06-01,25119.84,2012,6
Actuarial Fees - Frs17,2013-07-01,3000,2013,7
Highway Road Cleansing,2011-11-01,1341.74,2011,11
Other Expenses,2011-06-01,5359.14,2011,6
Personal Budget - Long Term Residential Care,2011-02-01,8714.43,2011,2
Certificate - Electricity Power & Light,2012-02-01,37818.75,2012,2
Land Agents Fees,2011-02-01,2083,2011,2
Highway Street Lighting Energy,2012-07-01,99850.85,2012,7
Highway Illuminated Sign Non-Routine Maintenance,2013-01-01,12353.42,2013,1
Support Staff Overtime,2012-11-01,3459.82,2012,11
Placement Cost - Agency Fee,2012-09-01,15456,2012,9
Highway Pothole Repairs,2013-05-01,14013.24,2013,5
Other Capital,2012-08-01,1371.48,2012,8
Reroofing,2012-10-01,65837.82,2012,10
Welfare/ Learning Support Assistants,2011-08-01,972.18,2011,8
Specialised Equipment Service Contract,2011-05-01,992.72,2011,5
Educational Materials,2011-04-01,4760.71,2011,4
Contract Cleaning & Other Cleaning Services,2011-12-01,30370.58,2011,12
Non Staff Public Transport Costs,2011-06-01,902761.6,2011,6
Voluntary Driver Payments,2014-05-01,9664.08,2014,5
Admin/ Chief Officers - Scale K and Above,2013-09-01,7350,2013,9
Swimming Pool Plant,2012-06-01,2019.06,2012,6
Purchase Of Software Licences,2013-12-01,2395,2013,12
Fire Service Radio Equipment - Running Costs,2013-09-01,8316.86,2013,9
Water and Sewerage Costs,2011-01-01,992.97,2011,1
Staff Car & Cycle Allowances,2012-05-01,52.2,2012,5
Direct Payment - Day Care Services / Supported Activities,2011-04-01,532.94,2011,4
Medical Requisites & Drugs Etc,2012-04-01,722.75,2012,4
Staff Advertising  Expenses,2011-09-01,11783.62,2011,9
Other (Photos Etc),2012-03-01,5513.75,2012,3
Members Conference Expenses-Other,2012-11-01,1000,2012,11
Display Materials,2011-02-01,9709,2011,2
Providing Financial Assistance to Service Users,2011-04-01,8442.86,2011,4
Fire Service Radio Equipment - Running Costs,2013-04-01,1450,2013,4
Bmf Minor Building Repairs,2013-03-01,6187.11,2013,3
Care Leavers Rent & Accommodation,2013-01-01,50494.79,2013,1
Certificate - Environment Control Systems,2011-10-01,19138.66,2011,10
Private Contractor Site Operation Payments,2013-08-01,1725690.68,2013,8
Personal Budget - Domiciliary Care,2011-11-01,61843.9,2011,11
Other Capital,2013-10-01,7186.18,2013,10
Other Hired & Contracted Services,2013-11-01,1434919.6,2013,11
Police Invoices - Norfolk Camera Road Partnership,2011-01-01,60000,2011,1
Other Capital,2014-04-01,20996.44,2014,4
Child In Care Residential Education Only,2014-05-01,19280.45,2014,5
Highway Pothole Repairs,2013-04-01,18468.6,2013,4
Vehicle Abuse/Wear & Tear Costs,2012-12-01,181.79,2012,12
Electrical & Mechanical Maintenance.,2012-03-01,24092.87,2012,3
Child In Care Agency Fostering,2012-02-01,883274.79,2012,2
Free Nursing Care,2014-08-01,22576.49,2014,8
Highway Drainage Repairs,2011-06-01,5162.46,2011,6
Highway Grass Cutting,2011-10-01,114483.85,2011,10
Highway Verge Hedge and Tree Maintenance,2012-10-01,105.32,2012,10
Fire Service Feeding At Fires,2013-06-01,488.35,2013,6
Learning Resources Purchases,2012-10-01,726.8,2012,10
Grant Payments,2013-08-01,147458.15,2013,8
Fire Service Radio Equipment - Running Costs,2013-05-01,50096.2,2013,5
Highway Pothole Repairs,2013-09-01,3571.21,2013,9
Temporary Staff Admin & Clerical,2012-09-01,19456.76,2012,9
Bmpp External Redecoration,2013-02-01,7183.83,2013,2
Staff Car & Cycle Allowances,2014-02-01,282.6,2014,2
Highway Kerb Footway and Cycleway Repairs,2012-04-01,14201.89,2012,4
Book Stationery,2014-01-01,10500,2014,1
Hospital Purchase of Independent Residential Care-Special Transitional Grant,2011-01-01,6916,2011,1
Refuse Collection Costs,2012-10-01,2954.36,2012,10
Service Level Agreement With Organisations Providing Services to NCC,2013-02-01,433818.94,2013,2
Water and Sewerage Costs,2014-07-01,9907.06,2014,7
Agency Staff - Operational - Manual,2011-07-01,45740.44,2011,7
General Equipment,2011-03-01,3913.41,2011,3
Contract Taxi Hire,2014-01-01,1751.2,2014,1
Short Term Residential Care,2013-03-01,119174.72,2013,3
Highway Winter Snow Clearing,2011-04-01,520,2011,4
Escorts (Home to School Transport),2011-11-01,2080,2011,11
Research & Development,2011-04-01,8000,2011,4
Contract Taxi Hire,2011-03-01,5242,2011,3
Postage & Postal Services,2012-09-01,5906.8,2012,9
Own Disbursements Other,2011-02-01,-42716.04,2011,2
Swimming & Games Facilities,2012-07-01,7655.9,2012,7
Homelessness Support Child In Need,2013-01-01,5540,2013,1
Furniture Purchases,2011-11-01,8186.62,2011,11
CONSTR COSTS - M&E OTHER,2013-05-01,38311.3,2013,5
SLA With Organisations Providing Services to NCC,2014-08-01,504657.46,2014,8
Community Based Assessments,2012-12-01,771.2,2012,12
Agency Staff - Caretakers,2012-01-01,1800.55,2012,1
Contract Overheads,2012-06-01,120000,2012,6
Water and Sewerage Costs,2014-06-01,23295.26,2014,6
Highway Winter Ice Prediction Service Charge,2012-03-01,30916,2012,3
Highway Drainage Rodding and Jetting,2011-03-01,49037.11,2011,3
CONSTR COSTS - M&E OTHER,2013-09-01,62188.03,2013,9
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2013-04-01,4217.33,2013,4
Bmpp Structural Builidng Work,2013-06-01,3703,2013,6
Construction Costs-Mobile Classrooms,2012-02-01,620,2012,2
Purchase Of Furniture,2012-11-01,5406.86,2012,11
CONSTR COSTS - M&E OTHER,2013-04-01,5226.88,2013,4
Disturbance Payment,2011-05-01,1781.39,2011,5
Highway Traffic Signals and Systems Planned and Contracted Maintenance,2013-09-01,31637.74,2013,9
Sessional Fees,2013-11-01,31751.74,2013,11
Swimming Pool Plant,2011-01-01,362.69,2011,1
Agency Staff - Admin/Chief Officers - Scale K and Above,2011-06-01,10479.42,2011,6
Protective Clothing and Uniforms,2011-07-01,10618.14,2011,7
Construction Cost-Adaptation/Improvement Building,2013-03-01,3366858.17,2013,3
Assistive Technology Equipment,2011-05-01,9624.25,2011,5
Bmpp External Redecoration,2013-11-01,51635.84,2013,11
Cost of Sales,2011-06-01,3146.95,2011,6
Alterations To Service - Telecom,2014-08-01,30508.18,2014,8
Repair & Replacement Of Light Fittings,2012-02-01,7294.63,2012,2
Broadband Virtual Private Network & Leased Lines,2012-06-01,26827.38,2012,6
School Academy Payments,2011-12-01,353834.76,2011,12
Management Fees - General,2012-10-01,735488.07,2012,10
Library Books - Large Print,2011-10-01,6729.62,2011,10
Bmf Building Work,2014-08-01,2932.7,2014,8
Purchase Of IT,2013-07-01,323133.23,2013,7
Other Hired & Contracted Services,2013-02-01,673273.04,2013,2
Highway Street Lighting Energy,2012-11-01,198105.71,2012,11
Highway Winter Snow Clearing,2013-06-01,13073.64,2013,6
Medical Requisites & Drugs Etc,2012-12-01,778.65,2012,12
Tank Clean/Water System Disinfection,2012-03-01,37008.77,2012,3
Highway Fencing Repairs,2011-07-01,2294.75,2011,7
Other Capital,2011-02-01,4811.04,2011,2
Certificate - Environment Control Systems,2012-10-01,7786.22,2012,10
Bmf Gas Appliances & Repairs Test,2014-05-01,321.18,2014,5
Vehicle Abuse/Wear & Tear Costs,2012-04-01,1946.6,2012,4
Management & Consultancy Training,2011-01-01,3250,2011,1
Bmf Building Repairs,2012-11-01,45037.49,2012,11
Long Term Care with Nursing,2012-07-01,966224.069999998,2012,7
Agency Staff - Supply Teachers,2012-02-01,4176.34,2012,2
IT Equipment,2011-03-01,770.06,2011,3
Vehicle Fuel,2013-06-01,52298.98,2013,6
Certificate - Electricity Power & Light,2011-06-01,60942.87,2011,6
Catering Staff,2011-05-01,523.75,2011,5
Learning Resources Purchases,2011-10-01,525,2011,10
Other Expenses,2012-02-01,-29425.51,2012,2
Agency Staff - Operational APT&C,2012-07-01,124662.12,2012,7
Bmpp Swimming Pool Plant,2013-01-01,282.38,2013,1
Refuse Collection Costs,2011-10-01,6581.75,2011,10
Accreditation Scheme Payments,2014-08-01,336530.44,2014,8
Consultants Design Fees,2011-12-01,6645.73,2011,12
Direct Payment - Day Care Services / Supported Activities,2013-06-01,66.85,2013,6
Agency Staff - Home Care Assistants,2012-12-01,13237.35,2012,12
Highway Patching to Carriageway and Footway,2014-05-01,485.95,2014,5
Personal Budget - Respite Residential Care,2013-04-01,17761.28,2013,4
Highway Kerb Footway and Cycleway Repairs,2012-12-01,15424.12,2012,12
Sessional Fees,2013-02-01,28610.14,2013,2
Providing Financial Assistance to Service Users,2013-06-01,4468.85,2013,6
Short Term Care with Nursing,2011-03-01,28266.41,2011,3
Vehicle Repair Costs,2013-04-01,7787.6,2013,4
Private Contractor Subsidy Payments,2013-03-01,271301.93,2013,3
Materials Purchases,2011-09-01,237810.6,2011,9
Rents and Hire of Premises & Facilities,2012-03-01,42465.26,2012,3
Other Vehicles Running Costs,2012-03-01,5352.99,2012,3
Own Disbursements Other,2013-10-01,690,2013,10
Vandalism Under 500,2011-01-01,2950.63,2011,1
Short Term Care with Nursing,2014-01-01,39743.04,2014,1
Community Based Assessments,2012-04-01,721.7,2012,4
Agency Staff - Admin & Clerical - Scale A to J,2011-05-01,51021.48,2011,5
Personal Budget - Respite Residential Care,2013-09-01,21361.14,2013,9
Vehicle Repair Costs,2013-09-01,6932.31,2013,9
Vehicle Repair Costs,2013-05-01,11127.15,2013,5
Estate / Site Management Costs,2013-01-01,8915.03,2013,1
Fire Service Feeding At Fires,2011-04-01,966.96,2011,4
On-Line Bank Charges,2012-07-01,2771.74,2012,7
Purchase Of Books,2013-01-01,1259.69,2013,1
Highway Patching to Carriageway,2012-02-01,164234.92,2012,2
Personal Budget - Respite Residential Care,2013-05-01,32328.84,2013,5
Recharge to KG1062 for Capital Funded by Revenue,2012-05-01,2000,2012,5
Own Disbursements Other,2012-08-01,19766.2,2012,8
Broadband Virtual Private Network & Leased Lines,2011-01-01,1031.5,2011,1
Service Level Agreement With Organisations Providing Services to NCC,2013-11-01,145469.87,2013,11
Bmpp Building Repairs,2014-05-01,28404.09,2014,5
Other Indirect Employee Expenses,2012-01-01,27928.98,2012,1
Legal Expenses Land,2011-12-01,10368.75,2011,12
Care Leavers Rent & Accommodation,2012-11-01,47438.72,2012,11
Construction - Enabling Works,2013-07-01,267683,2013,7
Internal Recharge Schools,2014-04-01,4463.66,2014,4
Foster Care Child In Care Holiday Allowance,2014-02-01,325,2014,2
Other Support Costs,2013-03-01,1431,2013,3
Building Maintenance & Repairs,2011-05-01,73778.94,2011,5
Casual Labour,2011-05-01,2305.09,2011,5
Gas (LPG) & other Heating Fuels,2014-04-01,1531.36,2014,4
Refuse Collection Costs,2013-08-01,3123.13,2013,8
Child In Care Residential Home In Norfolk,2011-07-01,258432.58,2011,7
Staff Subsistence & Conference Expenses,2012-05-01,10198.97,2012,5
"Printing, Stationery and Photocopying",2014-02-01,87236.5,2014,2
Highway Illuminated Sign Non-Routine Maintenance,2012-11-01,12353.42,2012,11
Support Staff Overtime,2013-01-01,1565.64,2013,1
Construction Costs - Roads - Amey,2011-02-01,37620.76,2011,2
Vehicle  Leasing Costs,2012-01-01,71345.58,2012,1
Staff CRB/Police Reports,2011-04-01,24460,2011,4
Direct Payment - One Off Payment To Carers,2011-07-01,3029,2011,7
Tank Clean/Water System Disinfection,2011-08-01,8752.32,2011,8
Construction Costs-Mobile Classrooms,2011-12-01,66514.57,2011,12
Services Provided By Landlord,2013-12-01,20331.91,2013,12
Contract Transport  Hire,2012-07-01,1408086.65,2012,7
Bmpp Security Systems,2014-02-01,1848.59,2014,2
External Redecoration,2011-03-01,4073.37,2011,3
Salary Support Costs,2011-09-01,650,2011,9
ICT Equipment Purchases,2011-11-01,820482.82,2011,11
Agency Staff - Social Services Operational-Other1 April,2012-05-01,19184.54,2012,5
Tyres,2011-05-01,486.14,2011,5
Bmpp External Redecoration,2014-01-01,6462.16,2014,1
Staff Subsistence & Conference Expenses,2014-02-01,6388.98,2014,2
CONSTR COSTS - M&E OTHER,2014-08-01,445027.99,2014,8
Direct Payment - Domiciliary Care,2012-01-01,22889.6,2012,1
Security Systems,2011-03-01,5881.31,2011,3
Members Conference Expenses-Other,2013-01-01,1420,2013,1
Pension Lump Sum ILL Health & Injury,2012-07-01,34426.35,2012,7
Contributions To Third Parties,2011-07-01,5610,2011,7
Highway Winter Salt Usage,2012-07-01,12952.11,2012,7
Agency,2011-11-01,10941.16,2011,11
Agency Staff - Operational Hay & M,2012-07-01,13487.43,2012,7
Books & Publications,2012-02-01,418,2012,2
Contract Taxi Hire,2013-02-01,300,2013,2
Actuarial Fees - Gen,2011-04-01,10000,2011,4
Direct Labour Organisation Plant,2011-03-01,121,2011,3
Service Level Agreement With Organisations Providing Services to NCC,2014-01-01,629171.55,2014,1
Private Voluntary Independent School Pre-school & Playgroup,2012-08-01,603151.23,2012,8
Contract Cleaning & Other Cleaning Services,2012-02-01,74030.55,2012,2
Public Inquiry Costs,2012-03-01,9646.43,2012,3
Contract Overheads,2014-03-01,332356.85,2014,3
Highway Bridge Maintenance,2011-07-01,630.31,2011,7
Personal Budget - Day Care,2011-02-01,17093.07,2011,2
Alterations To Service - Electricity,2012-07-01,8348.53,2012,7
Service Level Agreement With Organisations Providing Services to NCC,2011-03-01,30315.51,2011,3
Property Services Graphics Charges,2011-02-01,1100,2011,2
Admin Staff Overtime,2011-02-01,1115.85,2011,2
Construction Costs -Roads - ECI - May Gurney,2013-03-01,9753.87,2013,3
Other Vehicles Running Costs,2011-08-01,4516.57,2011,8
Alterations To Service - Other,2011-02-01,1822.28,2011,2
Operational Staff - Scale K and Above,2013-07-01,2096.17,2013,7
Rents and Hire of Premises & Facilities,2011-08-01,57052.64,2011,8
Fire Service Radio Equipment - Running Costs,2014-08-01,35130.41,2014,8
Free Nursing Care,2013-05-01,6612.25,2013,5
Arts Grants,2011-05-01,99080,2011,5
Short-term Vehicle Hire,2012-12-01,1838.22,2012,12
Agency Staff - Permanent Teachers,2013-02-01,3978.32,2013,2
Day Care / Supported Activities,2012-12-01,173811.16,2012,12
Free Nursing Care,2013-09-01,18020.19,2013,9
Purchase Of IT,2012-09-01,108945.27,2012,9
Short Term Care with Nursing,2013-11-01,4394.24,2013,11
Fees & Charges,2013-06-01,91386.83,2013,6
Private Voluntary Independent School Pre-school & Playgroup,2013-10-01,104692.52,2013,10
Grant Payments,2012-10-01,121296.6,2012,10
Child In Care Agency Fostering,2011-12-01,1075250.66,2011,12
Highway Verge Hedge and Tree Maintenance,2013-08-01,311.1,2013,8
Pest Control,2011-01-01,1200,2011,1
Equipment Purchases For Service Users,2013-06-01,2731.25,2013,6
Adoption Allowance Payments,2011-04-01,5177.54,2011,4
Free Nursing Care,2013-04-01,65981.22,2013,4
Homelessness Support Child In Need,2012-11-01,8080.5,2012,11
Highway Drainage Rodding and Jetting,2013-02-01,17435.99,2013,2
Water and Sewerage Costs,2014-03-01,27873.06,2014,3
